kinase_id	betweenness	pagerank	degree	depmap_score	cox_hr	logrank_p	dgidb_score	chembl_count	trial_stage	centrality_missing	centrality_norm	essentiality_missing	essentiality_norm	survival_missing	survival_norm	druggability_missing	druggability_norm	CTS
PDGFRA	0.0089376915219611	0.0123091899145032	7.755	-0.2963649275491955	1.0059046411578825	0.4499182847621398	85.0	85.0	0	False	0.24286250836435452	False	0.5710072997401667	False	0.5217917450059067	False	0.36139747995418103	0.41833800968666096
PDGFRB	0.0045965270684371	0.0153265898718241	9.829	-0.0773889748900663	1.0023710017266882	0.7229381880876642	118.0	118.0	0	False	0.26081615166000677	False	0.29053468693768725	False	0.4757513626164062	False	0.4369988545246277	0.357216128791451
CSF1R	0.0017875383043922	0.0091903344440191	5.351	0.024014634033889	1.0032014922744197	0.9067932884218556	93.0	93.0	0	False	0.13723151742393622	False	0.16065314151166799	False	0.45375419594744715	False	0.3797250859106529	0.27071630677409025
FLT3	0.0	0.0077060007306425	4.385	-0.1122082916185421	0.9735468046427403	0.0102935323130326	224.0	224.0	0	False	0.1007635877297221	False	0.33513257369301885	False	0.0	False	0.6798396334478808	0.2499801464317475
FLT1	0.010214504596527	0.0129343647925839	8.01	0.0519484442071833	1.0187839390970512	0.7304947113331004	106.0	106.0	0	False	0.26016377164072807	False	0.12487446979136174	False	0.474741911175668	False	0.40950744558991986	0.3098547158519598
KDR	0.0030643513789581	0.0188788241856849	12.233	-0.1380412725615332	1.0121299935430284	0.5283069266354883	203.0	203.0	0	False	0.30730417224085144	False	0.3682204245440941	False	0.5061997761416988	False	0.631729667812142	0.43714223540613206
FLT4	0.0012768130745658	0.0086175712272494	5.0760000000000005	-0.0029838739807573	1.04418050090599	0.401721908221116	105.0	105.0	0	False	0.12563311209498498	False	0.19523384314891157	False	0.53279134786524	False	0.4072164948453609	0.3011395303511055
TEK	0.0028089887640449	0.0074233498015957	4.051	0.0958547539912468	1.0132169702764162	0.7092955802506281	24.0	24.0	0	False	0.11471691663454736	False	0.06863762152510089	False	0.4776008488572158	False	0.22164948453608246	0.2153045894931599
TIE1	0.0007660878447395	0.0066332888136455	3.383	-0.1757359955211468	1.0103436853244934	0.369056398321432	5.0	5.0	0	False	0.08557423756185871	False	0.41650123944163653	False	0.5410246613223948	False	0.17812142038946163	0.3006780305374578
FGFR1	0.0169177732379979	0.020365681900669	13.411	-0.3127746584272508	0.99825882532428	0.3818412723650425	143.0	143.0	0	False	0.43337318688887533	False	0.5920254984915071	False	0.3507932700445676	False	0.49427262313860254	0.46457117282840177
FGFR2	0.0191521961184882	0.0178068556402767	11.784	-0.0657305116824222	1.0001217853146835	0.6351813163253647	104.0	104.0	0	False	0.40930693811991786	False	0.27560209001367897	False	0.4883146461549491	False	0.4049255441008019	0.3947563742982927
FGFR3	0.0035750766087844	0.01026966437336	6.405	0.046582755083184	0.9945737642731012	0.1891125996720442	112.0	112.0	0	False	0.17151907229734883	False	0.1317470456601676	False	0.2825796334620861	False	0.42325315005727376	0.23968802148122284
FGFR4	0.0005107252298263	0.00857738326781	5.205	-0.0575577188174828	1.0031450259517734	0.6797696697321407	51.0	51.0	0	False	0.12134661904561504	False	0.2651340703937747	False	0.4817284769085033	False	0.28350515463917525	0.27982065346708906
INSR	0.0	0.0069123618164766	3.581	-0.0446743138442107	0.9982224125085274	0.2241882903649795	66.0	66.0	0	False	0.084680192788451	False	0.24863252211522469	False	0.2990969808587674	False	0.3178694158075601	0.22591031674154533
IGF1R	0.0071501532175689	0.0202310913600811	13.043	-0.1074546312981835	1.0001003659499326	0.0326771660863727	69.0	69.0	0	False	0.3574016716593049	False	0.3290439072698984	False	0.7763702153340134	False	0.3247422680412371	0.4485224857570168
INSRR	0.0010214504596527	0.0060995052158796	3.035	-0.1122282824769961	1.0275730345408494	0.2176982085762029	3.0	3.0	0	False	0.07893000360505703	False	0.3351581787342788	False	0.5922667196684878	False	0.17353951890034366	0.2902431294622775
NTRK1	0.0155771195097037	0.0163810934568349	10.57	-0.0037289461250609	0.9975372735453616	0.8559099171559765	100.0	100.0	0	False	0.35741719168168506	False	0.1961881594950744	False	0.4291514226200099	False	0.39576174112256585	0.3427124012577898
NTRK2	0.0053626149131767	0.0125219424902509	7.946	0.1072299344163713	1.0024620030069835	0.1667275922255446	65.0	65.0	0	False	0.22109462289192408	False	0.05406786381339135	False	0.618162343664207	False	0.31557846506300113	0.297501631749577
NTRK3	0.0010214504596527	0.0086240065640426	4.998	0.0360533645069074	1.000707383096423	0.2185066325054598	58.0	58.0	0	False	0.12289958520425286	False	0.14523348401234237	False	0.5919068844566778	False	0.2995418098510882	0.28106332964874853
AXL	0.0074055158324821	0.0126585403305714	7.269	-0.0608205653481095	1.007852650099175	0.5388168806633604	51.0	51.0	0	False	0.22873318845977667	False	0.2693132466024195	False	0.5042874827111336	False	0.28350515463917525	0.3187211697941563
MERTK	0.0	0.004245161402251	1.647	-0.1110448600619055	1.0351184247154976	0.0434234665095357	22.0	22.0	0	False	0.03991811465321773	False	0.33364240692107805	False	0.748768430523378	False	0.2170675830469645	0.32599166036647226
TYRO3	0.0017875383043922	0.0058555965880717	2.728	-0.2261736778406307	1.0473449330784146	0.1175304689125517	28.0	28.0	0	False	0.07878734577817664	False	0.4811037146087074	False	0.6521072816222137	False	0.23081328751431843	0.3531016102940469
DDR1	0.001532175689479	0.0066444062069312	3.597	-0.0269270366831837	0.9990283909223532	0.5010300413333986	16.0	16.0	0	False	0.09377664947489572	False	0.22590114392032556	False	0.37716580481943285	False	0.20332187857961057	0.21956410774333046
DDR2	0.0005107252298263	0.0062334223324394	3.244	-0.0113693672807355	1.0062224488470282	0.8867443884915448	14.0	14.0	0	False	0.07884767682582994	False	0.20597429746328866	False	0.4559246600984554	False	0.19873997709049254	0.22887703785628352
RET	0.0002553626149131	0.0110517418140884	6.741	-0.171033417665564	0.9992325958292688	0.2604379986776006	102.0	102.0	0	False	0.15790798309503745	False	0.4104780013552357	False	0.3136470129248663	False	0.4003436426116838	0.3084723770208735
ROR1	0.0	0.005301163861135	1.626	0.0978594769282877	1.035760138107739	0.6724915744139273	2.0	2.0	0	False	0.04812455207565732	False	0.06606989720072187	False	0.4827734757626963	False	0.17124856815578463	0.18589792249470866
ROR2	0.0005107252298263	0.0051808656628069	1.574	-0.0405111940646581	1.0083644539243348	0.9833232946098318	0.0	0.0	0	False	0.050215015560317794	False	0.24330024216483936	False	0.44588853655910665	True	0.0	0.18736169934908184
MUSK	0.0	0.0025025705421961	0.548	0.0290742559855502	0.7499573543915683	0.0541144176307345	5.0	5.0	0	False	0.012663704633100778	False	0.15417258795616307	False	0.1611105415434652	False	0.17812142038946163	0.11824417784272964
AATK	0.0	0.0017492711370262	0.0	-0.197048232990719	0.9170367870974558	0.1352595438861232	0.0	0.0	0	True	0.5	False	0.443798752502638	False	0.2500439463384076	True	0.0	0.3234606747102614
EPHA1	0.0020429009193054	0.0125316035533508	8.265	-0.0263652116421951	0.9976579755078646	0.5176590565199173	3.0	3.0	0	False	0.20108948563107784	False	0.22518153733672386	False	0.3803355031757891	False	0.17353951890034366	0.24641400959752033
EPHA2	0.0181307456588355	0.0184020508218519	12.473	0.119481761641452	1.006872612148999	0.3914449098783201	25.0	25.0	0	False	0.4150429596908501	False	0.038375264001885734	False	0.5353071734956445	False	0.22394043528064148	0.31272158433776587
EPHA3	0.0030643513789581	0.0129579023283305	8.592	-0.039660481933143	1.0018144377741836	0.0287576350202002	8.0	8.0	0	False	0.21582666948528514	False	0.2422106181610556	False	0.788774291750553	False	0.1849942726231386	0.35949308284811543
EPHA4	0.0045965270684371	0.0153252831545612	10.353	0.1004006558752281	1.0073912965670753	0.9396072834949236	2.0	2.0	0	False	0.2671438299663172	False	0.0628150598992191	False	0.4503032878449381	False	0.17124856815578463	0.24267244955709139
EPHA5	0.0022982635342185	0.0126914513858168	8.387	-0.0986697197847908	1.6122016351234778	0.0032644349611298	5.0	5.0	0	False	0.20568744561766863	False	0.3177918631277029	False	1.0	False	0.17812142038946163	0.4267784835451186
EPHA6	0.0	0.0102755058140601	6.581	0.0602135147655043	0.9431305019465692	0.3278847749457808	5.0	5.0	0	False	0.14791202721039298	False	0.11428825744092308	False	0.3360040152910825	False	0.17812142038946163	0.19257096042401162
EPHA7	0.0007660878447395	0.0115941019484025	7.558	0.040066031472771	1.0162227363238794	0.603037381250398	6.0	6.0	0	False	0.17581867601200604	False	0.14009390966842405	False	0.4933560763094266	False	0.18041237113402062	0.24719057352486862
EPHA8	0.0051072522982635	0.0099710173869487	6.215	0.0712446647648638	1.032519023924034	0.0402222005224626	7.0	7.0	0	False	0.17787792233528787	False	0.10015914680130578	False	0.7562028141922996	False	0.18270332187857963	0.3039945313247036
EPHA10	0.0045965270684371	0.0092724237297586	5.795	-0.0865727123637214	0.953108984017582	0.0712338466085548	1.0	1.0	0	False	0.1635175159857651	False	0.3022975623276518	False	0.18779434713189938	False	0.16895761741122564	0.20536975564286244
EPHB1	0.0030643513789581	0.0117663205046753	7.659	0.0514339412750793	1.00908906701222	0.075226509244444	5.0	5.0	0	False	0.19499470265714114	False	0.12553346444310032	False	0.6954232611498987	False	0.17812142038946163	0.2993618762732844
EPHB2	0.0097037793667007	0.012771146962629	8.438	0.0575397147956406	1.01892603611658	0.7712704532449526	7.0	7.0	0	False	0.26034982704183113	False	0.11771296072250326	False	0.4694688709195509	False	0.18270332187857963	0.2614410703987788
EPHB3	0.0084269662921348	0.0094607573834694	5.1770000000000005	0.0200474088481731	1.000888930453986	0.4351820757853603	2.0	2.0	0	False	0.18517556766245566	False	0.16573451231929104	False	0.5250246122432446	False	0.17124856815578463	0.26249216507052753
EPHB4	0.0005107252298263	0.007911457146316	4.378	0.0567982749502871	1.0010015802868095	0.4378961439955778	8.0	8.0	0	False	0.1060082282956819	False	0.11866262468394229	False	0.5244210480239823	False	0.1849942726231386	0.22957224119031344
EPHB6	0.0084269662921348	0.0078658925921414	3.727	0.1005502500803796	0.9973747047756242	0.8799180389084741	1.0	1.0	0	False	0.1548591135770786	False	0.06262345403076885	False	0.4318369753517836	False	0.16895761741122564	0.20386436490100682
ROS1	0.0	0.0017492711370262	0.0	0.0900111816819777	0.9992619447771778	0.8474475004331199	52.0	52.0	0	True	0.5	False	0.07612228810048605	False	0.4281868239075817	False	0.2857961053837343	0.3332364990787638
RYK	0.0	0.0051689084728812	1.601		1.0123701389589517	0.3463134688618055	0.0	0.0	0	False	0.04676256000349496	True	0.5	False	0.5471993721763779	True	0.0	0.275828611045143
PTK7	0.0	0.0042943277665741	1.096	-0.0489839919056743	1.0024135736245687	0.7030885595397152	1.0	1.0	0	False	0.03364729282355811	False	0.2541525194097122	False	0.4784541211455857	False	0.16895761741122564	0.22703737146813702
SRC	0.0149387129724208	0.0247136438381893	16.947	-0.0367644023137579	1.000645396445509	0.5003116746814165	76.0	76.0	0	False	0.4967058905615754	False	0.2385012107678275	False	0.5114853452525058	False	0.34077892325315	0.4046641908241859
YES1	0.0094484167517875	0.0139963044224125	8.927	0.0589501178433397	1.0010288638238376	0.8466402181706074	213.0	213.0	0	False	0.274238682137524	False	0.11590646360220735	False	0.46041755844530624	False	0.654639175257732	0.357280445204682
FYN	0.0127681307456588	0.0261293285089022	18.601	0.0098287411979454	1.0086234354230357	0.8962723233330094	41.0	41.0	0	False	0.5124005427358472	False	0.17882296509419915	False	0.45488712694871314	False	0.26059564719358536	0.36426681527019933
LYN	0.0028089887640449	0.0253366199674853	18.592	0.0453877147851151	1.0042236774326263	0.8713605871346769	49.0	49.0	0	False	0.4341174797499914	False	0.13327769809361267	False	0.45762362508157406	False	0.2789232531500573	0.3337452253488056
